x,y,samplingsite
11,18,1
10,18,2
9,18,3
8,18,4
7,18,5
7,17,6
8,17,7
9,17,8
10,17,9
11,17,10
12,17,11
13,17,12
13,16,13
12,16,14
11,16,15
10,16,16
9,16,17
8,16,18
7,16,19
3,15,20
4,15,21
5,15,22
6,15,23
7,15,24
8,15,25
9,15,26
10,15,27
11,15,28
12,15,29
14,15,30
15,14,31
16,14,32
15,14,33
14,14,34
13,14,35
12,14,36
11,14,37
10,14,38
9,14,39
8,14,40
7,14,41
6,14,42
5,14,43
4,14,44
3,14,45
2,14,46
1,13,47
2,13,48
3,13,49
4,13,50
5,13,51
6,13,52
7,13,53
8,13,54
9,13,55
10,13,56
11,13,57
12,13,58
13,13,59
14,13,60
15,13,61
16,13,62
16,12,63
15,12,64
14,12,65
13,12,66
12,12,67
11,12,68
10,12,69
9,12,70
8,12,71
7,12,72
6,12,73
5,12,74
4,12,75
3,12,76
2,12,77
1,12,78
1,11,79
2,11,80
3,11,81
4,11,82
5,11,83
6,11,84
7,11,85
8,11,86
9,11,87
10,11,88
12,11,89
13,11,90
14,11,91
15,11,92
16,11,93
16,10,94
15,10,95
14,10,96
13,10,97
12,10,98
11,10,99
10,10,100
9,10,101
8,10,102
7,10,103
6,10,104
5,10,105
4,10,106
3,10,107
2,10,108
1,10,109
3,9,110
4,9,111
5,9,112
6,9,113
7,9,114
8,9,115
9,9,116
10,9,117
11,9,118
12,9,119
13,9,120
14,9,121
15,9,122
16,9,123
16,8,124
15,8,125
14,8,126
13,8,127
12,8,128
11,8,129
10,8,130
9,8,131
8,8,132
7,8,133
6,8,134
5,8,135
4,7,136
5,7,137
6,7,138
7,7,139
8,7,140
9,7,141
11,7,142
12,7,143
13,7,144
14,7,145
15,6,146
14,6,147
13,6,148
12,6,149
11,6,150
10,6,151
9,6,152
8,6,153
7,6,154
6,6,155
5,6,156
4,6,157
3,5,158
4,5,159
5,5,160
6,5,161
7,5,162
8,5,163
9,5,164
10,5,165
11,5,166
12,5,167
13,5,168
14,5,169
15,5,170
14,4,171
13,4,172
12,4,173
11,4,174
10,4,175
8,4,176
7,4,177
6,4,178
5,4,179
4,4,180
3,4,181
3,3,182
4,3,183
5,3,184
6,3,185
7,3,186
8,3,187
10,3,188
11,3,189
12,3,190
13,3,191
8,2,192
7,2,193
6,2,194
5,2,195
6,1,196
7,1,197
