Site,Run 1
1,4
2,4
3,5
4,9
5,9
6,7
7,7
8,6
9,6
10,5
11,6
12,13
13,5
14,3
15,3
16,3
17,4
18,4
19,3
20,12
21,10
22,3
23,7
24,5
25,5
26,6
27,3
28,5
29,7
30,8
31,10
32,8
33,11
34,10
35,6
36,9
37,9
38,11
39,5
40,4
41,4
42,7
43,12
44,9
45,14
46,12
47,22
48,15
49,15
50,13
51,10
52,11
53,6
54,9
55,6
56,8
57,9
58,9
59,10
60,7
61,10
62,0
63,23
64,24
65,20
66,17
67,24
68,14
69,11
70,10
71,9
72,10
73,14
74,14
75,18
76,23
77,20
78,15
79,16
80,14
81,19
82,29
83,26
84,23
85,20
86,17
87,19
88,20
89,32
90,29
91,21
92,18
93,24
94,20
95,23
96,30
97,40
98,45
99,0
100,39
101,32
102,43
103,31
104,35
105,26
106,21
107,14
108,13
109,10
110,12
111,11
112,14
113,23
114,39
115,38
116,33
117,53
118,61
119,35
120,27
121,22
122,17
123,16
124,14
125,22
126,16
127,21
128,25
129,0
130,24
131,18
132,18
133,15
134,11
135,8
136,0
137,9
138,9
139,8
140,11
141,12
142,19
143,16
144,16
145,15
146,13
147,11
148,10
149,12
150,15
151,0
152,10
153,11
154,7
155,7
156,7
157,9
158,9
159,5
160,6
161,6
162,6
163,6
164,10
165,8
166,9
167,13
168,10
169,9
170,14
171,8
172,10
173,12
174,7
175,9
176,7
177,4
178,5
179,7
180,6
181,5
182,7
183,7
184,8
185,5
186,5
187,9
188,8
189,10
190,12
191,14
192,0
193,4
194,6
195,7
196,7
197,5
