"x","y","z"
11,18,4
10,18,4
9,18,5
8,18,9
7,18,9
7,17,7
8,17,7
9,17,6
10,17,6
11,17,5
12,17,6
13,17,13
13,16,5
12,16,3
11,16,3
10,16,3
9,16,4
8,16,4
7,16,3
3,15,12
4,15,10
5,15,3
6,15,7
7,15,5
8,15,5
9,15,6
10,15,3
11,15,5
12,15,7
14,15,8
15,14,10
16,14,8
15,14,11
14,14,10
13,14,6
12,14,9
11,14,9
10,14,11
9,14,5
8,14,4
7,14,4
6,14,7
5,14,12
4,14,9
3,14,14
2,14,12
1,13,22
2,13,15
3,13,15
4,13,13
5,13,10
6,13,11
7,13,6
8,13,9
9,13,6
10,13,8
11,13,9
12,13,9
13,13,10
14,13,7
15,13,10
16,13,0
16,12,23
15,12,24
14,12,20
13,12,17
12,12,24
11,12,14
10,12,11
9,12,10
8,12,9
7,12,10
6,12,14
5,12,14
4,12,18
3,12,23
2,12,20
1,12,15
1,11,16
2,11,14
3,11,19
4,11,29
5,11,26
6,11,23
7,11,20
8,11,17
9,11,19
10,11,20
12,11,32
13,11,29
14,11,21
15,11,18
16,11,24
16,10,20
15,10,23
14,10,30
13,10,40
12,10,45
11,10,0
10,10,39
9,10,32
8,10,43
7,10,31
6,10,35
5,10,26
4,10,21
3,10,14
2,10,13
1,10,10
3,9,12
4,9,11
5,9,14
6,9,23
7,9,39
8,9,38
9,9,33
10,9,53
11,9,61
12,9,35
13,9,27
14,9,22
15,9,17
16,9,16
16,8,14
15,8,22
14,8,16
13,8,21
12,8,25
11,8,0
10,8,24
9,8,18
8,8,18
7,8,15
6,8,11
5,8,8
4,7,0
5,7,9
6,7,9
7,7,8
8,7,11
9,7,12
11,7,19
12,7,16
13,7,16
14,7,15
15,6,13
14,6,11
13,6,10
12,6,12
11,6,15
10,6,0
9,6,10
8,6,11
7,6,7
6,6,7
5,6,7
4,6,9
3,5,9
4,5,5
5,5,6
6,5,6
7,5,6
8,5,6
9,5,10
10,5,8
11,5,9
12,5,13
13,5,10
14,5,9
15,5,14
14,4,8
13,4,10
12,4,12
11,4,7
10,4,9
8,4,7
7,4,4
6,4,5
5,4,7
4,4,6
3,4,5
3,3,7
4,3,7
5,3,8
6,3,5
7,3,5
8,3,9
10,3,8
11,3,10
12,3,12
13,3,14
8,2,0
7,2,4
6,2,6
5,2,7
6,1,7
7,1,5
