"V1","V2"
504,798
562,712
574,682
574,658
560,648
516,656
482,626
438,580
420,526
430,442
446,298
488,278
510,232
520,184
550,142
586,124
664,120
748,146
740,116
740,78
840,0
870,22
886,84
948,68
984,14
1018,16
1026,50
1088,88
1144,106
1242,146
1362,244
1354,286
1340,386
1388,428
1372,476
1290,536
1204,564
1276,582
1324,612
1370,606
1406,618
1406,636
1440,650
1442,632
1482,642
1476,672
1452,702
1424,822
1370,874
1328,930
1288,932
1216,978
1194,996
1170,990
1138,960
1094,860
1100,966
1076,1068
1010,1070
940,1056
910,1056
900,1028
876,1030
820,1042
790,1024
726,1008
670,968
618,928
582,886
