x,y,z
10,17,7
6,16,12
7,16,13
8,16,13
9,16,14
10,16,15
11,16,11
13,16,18
15,15,7
14,15,12
13,15,13
12,15,12
11,15,11
10,15,14
9,15,14
8,15,14
6,15,13
5,15,14
4,15,22
3,14,23
4,14,21
5,14,17
6,14,16
7,14,18
8,14,18
9,14,15
10,14,13
11,14,10
12,14,11
13,14,14
14,14,4
15,14,9
16,14,5
16,13,8
15,13,5
14,13,9
13,13,4
11,13,15
10,13,15
9,13,18
8,13,18
7,13,18
6,13,20
5,13,14
4,13,18
3,13,21
2,13,32
3,12,22
4,12,23
5,12,22
6,12,19
7,12,23
8,12,27
9,12,19
10,12,17
11,12,13
12,12,7
13,12,8
14,12,6
15,12,7
16,12,8
17,12,5
17,11,8
16,11,7
15,11,8
14,11,5
13,11,8
12,11,12
11,11,32
10,11,17
9,11,26
8,11,31
6,11,27
5,11,27
4,11,21
3,11,23
2,10,17
3,10,20
4,10,18
5,10,26
8,10,26
9,10,26
10,10,21
11,10,15
12,10,23
13,10,8
14,10,7
15,10,12
16,10,8
13,9,5
12,9,10
11,9,20
10,9,27
9,9,24
8,9,22
7,9,11
5,9,19
4,9,24
3,9,16
2,9,16
1,9,14
1,8,10
2,8,9
3,8,15
4,8,12
5,8,18
6,8,12
7,8,8
8,8,21
9,8,17
11,8,17
12,8,17
13,8,16
14,8,10
15,8,6
16,7,12
15,7,13
14,7,13
13,7,14
12,7,16
11,7,20
10,7,16
9,7,19
8,7,12
7,7,6
6,7,6
5,7,10
4,7,6
3,7,8
2,7,11
1,7,9
1,6,9
2,6,5
3,6,6
4,6,10
5,6,9
6,6,6
7,6,8
8,6,10
9,6,14
10,6,22
11,6,23
12,6,13
13,6,16
14,6,11
15,6,11
15,5,12
14,5,13
13,5,16
12,5,18
11,5,17
10,5,15
8,5,10
7,5,6
6,5,6
5,5,8
4,5,9
3,5,5
2,5,6
1,5,6
2,4,3
3,4,5
4,4,5
6,4,11
7,4,6
8,4,8
9,4,9
10,4,9
11,4,12
12,4,15
13,4,17
14,4,11
15,4,11
14,3,18
13,3,15
12,3,15
11,3,10
10,3,9
9,3,14
8,3,6
7,3,7
6,3,4
5,3,5
4,3,6
3,3,5
7,2,11
8,2,14
9,2,9
10,2,11
11,2,13
12,2,15
10,1,10
7,1,10
