"V1","V2"
7,117
18,117
20,120
14,124
9,126
7,129
7,134
12,133
32,162
36,162
42,156
51,149
65,154
82,155
95,162
108,161
123,156
139,161
148,162
154,156
157,151
158,140
155,131
155,126
161,127
165,126
168,118
171,111
174,110
175,106
173,101
169,99
160,98
144,90
165,88
169,85
174,81
173,65
172,52
168,47
152,32
148,27
142,21
135,15
123,6
110,0
94,0
91,0
66,4
60,6
57,8
52,8
52,13
56,14
59,16
56,18
54,18
53,17
55,48
45,27
48,24
47,20
43,22
41,24
36,24
42,18
38,13
33,16
17,18
14,23
9,23
2,34
4,41
11,51
20,57
20,66
17,73
19,79
25,84
19,90
14,89
12,93
16,96
9,105
9,111
