"x","cyan"
444,24
444,76
496,76
548,76
600,76
652,128
600,128
548,128
496,128
444,128
288,128
236,128
184,180
236,180
288,180
340,180
392,180
444,180
496,180
548,180
600,180
652,180
704,180
756,232
704,232
652,232
600,232
548,232
496,232
444,232
392,232
340,232
288,232
236,232
184,232
132,232
132,284
184,284
236,284
288,284
340,284
392,284
444,284
496,284
548,284
600,284
652,284
704,284
756,284
756,336
704,336
652,336
600,336
548,336
496,336
444,336
392,336
340,336
288,336
236,336
184,336
132,336
80,336
28,388
80,388
132,388
184,388
236,388
288,388
340,388
392,388
444,388
496,388
548,388
600,388
652,388
704,388
652,440
600,440
548,440
496,440
444,440
392,440
288,440
236,440
184,440
132,440
80,440
28,440
28,492
80,492
132,492
184,492
236,492
288,492
340,492
392,492
444,492
496,492
548,492
600,492
652,492
704,492
756,492
808,544
756,544
704,544
652,544
600,544
548,544
496,544
444,544
392,544
340,544
288,544
236,544
184,544
132,544
80,544
236,596
288,596
340,596
392,596
444,596
496,596
548,596
600,596
652,596
704,596
756,596
808,596
808,648
756,648
704,648
652,648
600,648
548,648
496,648
444,648
392,648
340,648
288,648
236,700
288,700
340,700
392,700
444,700
496,700
548,700
600,700
652,700
704,700
756,700
704,752
652,752
600,752
548,752
496,752
444,752
392,752
340,752
288,752
236,752
184,804
236,804
288,804
340,804
392,804
444,804
496,804
548,804
600,804
600,856
548,856
496,856
444,856
392,856
340,856
288,856
236,856
184,856
184,908
236,908
288,908
340,908
392,908
444,908
496,908
548,908
600,908
652,908
496,960
444,960
392,960
340,960
288,960
236,960
